Title,Price,Rating,Availability,Rating_Num
A Light in the Attic,51.77,Three,In stock,3
Tipping the Velvet,53.74,One,In stock,1
Soumission,50.1,One,In stock,1
Sharp Objects,47.82,Four,In stock,4
Sapiens: A Brief History of Humankind,54.23,Five,In stock,5
The Requiem Red,22.65,One,In stock,1
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,In stock,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,In stock,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,In stock,4
The Black Maria,52.15,One,In stock,1
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,In stock,2
Shakespeare's Sonnets,20.66,Four,In stock,4
Set Me Free,17.46,Five,In stock,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,In stock,5
Rip it Up and Start Again,35.02,Five,In stock,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,In stock,3
Olio,23.88,One,In stock,1
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,In stock,1
Libertarianism for Beginners,51.33,Two,In stock,2
It's Only the Himalayas,45.17,Two,In stock,2
In Her Wake,12.84,One,In stock,1
How Music Works,37.32,Two,In stock,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,In stock,3
Chase Me (Paris Nights #2),25.27,Five,In stock,5
Black Dust,34.53,Five,In stock,5
Birdsong: A Story in Pictures,54.64,Three,In stock,3
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,In stock,3
Aladdin and His Wonderful Lamp,53.13,Three,In stock,3
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,Five,In stock,5
Wall and Piece,44.18,Four,In stock,4
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,In stock,5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,In stock,3
The Elephant Tree,23.82,Five,In stock,5
The Bear and the Piano,36.89,One,In stock,1
Sophie's World,15.94,Five,In stock,5
Penny Maybe,33.29,Three,In stock,3
Maude (1883-1993):She Grew Up with the country,18.02,Two,In stock,2
"In a Dark, Dark Wood",19.63,One,In stock,1
Behind Closed Doors,52.22,Four,In stock,4
You can't bury them all: Poems,33.63,Two,In stock,2
Slow States of Collapse: Poems,57.31,Three,In stock,3
Reasons to Stay Alive,26.41,Two,In stock,2
Private Paris (Private #10),47.61,Five,In stock,5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,In stock,5
Without Borders (Wanderlove #1),45.07,Two,In stock,2
When We Collided,31.77,One,In stock,1
"We Love You, Charlie Freeman",50.27,Five,In stock,5
Untitled Collection: Sabbath Poems 2014,14.27,Four,In stock,4
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,In stock,4
Unicorn Tracks,18.78,Three,In stock,3
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,In stock,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,In stock,1
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,In stock,3
This One Summer,19.49,Four,In stock,4
Thirst,17.27,Five,In stock,5
The Torch Is Passed: A Harding Family Story,19.09,One,In stock,1
The Secret of Dreadwillow Carse,56.13,One,In stock,1
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,In stock,1
The Past Never Ends,56.5,Four,In stock,4
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,In stock,3
The Nameless City (The Nameless City #1),38.16,Four,In stock,4
The Murder That Never Was (Forensic Instincts #5),54.11,Three,In stock,3
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,In stock,4
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,In stock,4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,In stock,3
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,In stock,5
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,In stock,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,In stock,1
The Death of Humanity: and the Case for Life,58.11,Four,In stock,4
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,In stock,3
The Art Forger,40.76,Three,In stock,3
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,In stock,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,In stock,5
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,In stock,4
Soul Reader,39.58,Two,In stock,2
Security,39.25,Two,In stock,2
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,In stock,3
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,In stock,2
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,In stock,2
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,In stock,3
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,In stock,5
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,In stock,5
"Pop Gun War, Volume 1: Gift",18.97,One,In stock,1
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,In stock,2
Patience,10.16,Three,In stock,3
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,In stock,4
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,In stock,1
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,In stock,1
On a Midnight Clear,14.07,Three,In stock,3
Obsidian (Lux #1),14.86,Two,In stock,2
My Paris Kitchen: Recipes and Stories,33.37,Two,In stock,2
Masks and Shadows,56.4,Two,In stock,2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,In stock,4
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,In stock,2
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,In stock,3
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,In stock,2
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,In stock,1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,In stock,2
Join,35.67,Five,In stock,5
In the Country We Love: My Family Divided,22.0,Four,In stock,4
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,Five,In stock,5
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two,In stock,2
I am a Hero Omnibus Volume 1,54.63,Three,In stock,3
How to Be Miserable: 40 Strategies You Already Use,46.03,One,In stock,1
Her Backup Boyfriend (The Sorensen Family #1),33.97,One,In stock,1
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two,In stock,2
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,In stock,3
First and First (Five Boroughs #3),15.97,Four,In stock,4
Fifty Shades Darker (Fifty Shades #2),21.96,One,In stock,1
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Two,In stock,2
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Two,In stock,2
Danganronpa Volume 1,51.99,Four,In stock,4
Crown of Midnight (Throne of Glass #2),43.29,Three,In stock,3
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four,In stock,4
Camp Midnight,17.08,Four,In stock,4
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Five,In stock,5
Burning,28.81,Three,In stock,3
Bossypants,49.46,Two,In stock,2
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two,In stock,2
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Two,In stock,2
Algorithms to Live By: The Computer Science of Human Decisions,30.81,One,In stock,1
A World of Flavor: Your Gluten Free Passport,42.95,One,In stock,1
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Five,In stock,5
A Murder in Time,16.64,One,In stock,1
A Flight of Arrows (The Pathfinders #2),55.53,Five,In stock,5
A Fierce and Subtle Poison,28.13,Four,In stock,4
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,One,In stock,1
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,Five,In stock,5
You Are What You Love: The Spiritual Power of Habit,21.87,Four,In stock,4
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,Four,In stock,4
Tuesday Nights in 1980,21.04,Two,In stock,2
Tracing Numbers on a Train,41.6,Three,In stock,3
Throne of Glass (Throne of Glass #1),35.07,Three,In stock,3
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,One,In stock,1
Thirteen Reasons Why,52.72,One,In stock,1
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,Four,In stock,4
The Wedding Dress,24.12,One,In stock,1
The Vacationers,42.15,Four,In stock,4
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,Five,In stock,5
The Stranger,17.44,Four,In stock,4
The Shadow Hero (The Shadow Hero),33.14,One,In stock,1
The Secret (The Secret #1),27.37,Four,In stock,4
The Regional Office Is Under Attack!,51.36,Five,In stock,5
The Psychopath Test: A Journey Through the Madness Industry,36.0,Two,In stock,2
The Project,10.65,One,In stock,1
The Power of Now: A Guide to Spiritual Enlightenment,43.54,Two,In stock,2
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Two,In stock,2
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Five,In stock,5
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,In stock,4
The Mistake (Off-Campus #2),43.29,Three,In stock,3
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,One,In stock,1
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,Two,In stock,2
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,One,In stock,1
The Kite Runner,41.82,Four,In stock,4
The House by the Lake,36.95,One,In stock,1
The Glittering Court (The Glittering Court #1),44.28,One,In stock,1
The Girl on the Train,55.02,Two,In stock,2
The Genius of Birds,17.24,One,In stock,1
The Emerald Mystery,23.15,Two,In stock,2
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,One,In stock,1
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,Three,In stock,3
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Five,In stock,5
The Art of War,33.34,Five,In stock,5
The Argonauts,10.93,Two,In stock,2
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Three,In stock,3
Suddenly in Love (Lake Haven #1),55.99,Two,In stock,2
Something More Than This,16.24,Four,In stock,4
Soft Apocalypse,26.12,Two,In stock,2
So You've Been Publicly Shamed,12.23,Two,In stock,2
Shoe Dog: A Memoir by the Creator of NIKE,23.99,Two,In stock,2
"Shobu Samurai, Project Aryoku (#3)",29.06,Three,In stock,3
Secrets and Lace (Fatal Hearts #1),20.27,One,In stock,1
Scarlett Epstein Hates It Here,43.55,Five,In stock,5
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,One,In stock,1
Redeeming Love,20.47,Five,In stock,5
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,One,In stock,1
Poems That Make Grown Women Cry,14.19,Four,In stock,4
"Nightingale, Sing",38.28,One,In stock,1
Night Sky with Exit Wounds,41.05,One,In stock,1
Mrs. Houdini,30.25,Five,In stock,5
Modern Romance,28.26,Five,In stock,5
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,One,In stock,1
Louisa: The Extraordinary Life of Mrs. Adams,16.85,Two,In stock,2
Little Red,13.47,Three,In stock,3
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,Five,In stock,5
Large Print Heart of the Pride,19.15,Two,In stock,2
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Four,In stock,4
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,One,In stock,1
Grumbles,22.16,Two,In stock,2
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,In stock,4
Frostbite (Vampire Academy #2),29.99,Five,In stock,5
Follow You Home,21.36,One,In stock,1
First Steps for New Christians (Print Edition),29.0,One,In stock,1
Finders Keepers (Bill Hodges Trilogy #2),53.53,Five,In stock,5
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four,In stock,4
Eureka Trivia 6.0,54.59,Four,In stock,4
Drive: The Surprising Truth About What Motivates Us,34.95,Four,In stock,4
Done Rubbed Out (Reightman & Bailey #1),37.72,Five,In stock,5
Doing It Over (Most Likely To #1),35.61,Three,In stock,3
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Three,In stock,3
Dark Notes,19.19,Five,In stock,5
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,Three,In stock,3
Close to You,49.46,Four,In stock,4
Chasing Heaven: What Dying Taught Me About Living,37.8,Two,In stock,2
Big Magic: Creative Living Beyond Fear,30.8,Three,In stock,3
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,Two,In stock,2
Beauty Restored (Riley Family Legacy Novellas #3),11.11,Two,In stock,2
Batman: The Long Halloween (Batman),36.5,Two,In stock,2
Batman: The Dark Knight Returns (Batman),15.38,Five,In stock,5
Ayumi's Violin,15.48,Two,In stock,2
Anonymous,46.82,Four,In stock,4
Amy Meets the Saints and Sages,18.46,Three,In stock,3
Amid the Chaos,36.58,One,In stock,1
Amatus,50.54,Five,In stock,5
Agnostic: A Spirited Manifesto,12.51,Five,In stock,5
Zealot: The Life and Times of Jesus of Nazareth,24.7,Three,In stock,3
You (You #1),43.61,Five,In stock,5
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Four,In stock,4
Wild Swans,14.36,Two,In stock,2
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,Four,In stock,4
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,Four,In stock,4
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,Two,In stock,2
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,One,In stock,1
Walt Disney's Alice in Wonderland,12.96,Five,In stock,5
V for Vendetta (V for Vendetta Complete),37.1,Four,In stock,4
Until Friday Night (The Field Party #1),46.31,Two,In stock,2
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,Two,In stock,2
Twenty Yawns,22.08,Two,In stock,2
Through the Woods,25.38,Two,In stock,2
This Is Where It Ends,27.12,Two,In stock,2
The Year of Magical Thinking,43.04,Two,In stock,2
The Wright Brothers,56.8,Four,In stock,4
The White Queen (The Cousins' War #1),25.91,Five,In stock,5
The Wedding Pact (The O'Malleys #2),32.61,Three,In stock,3
The Time Keeper,27.88,Five,In stock,5
The Testament of Mary,52.67,Four,In stock,4
The Star-Touched Queen,46.02,Five,In stock,5
The Songs of the Gods,44.48,Five,In stock,5
The Song of Achilles,37.4,Five,In stock,5
The Rosie Project (Don Tillman #1),54.04,One,In stock,1
The Power of Habit: Why We Do What We Do in Life and Business,16.88,Three,In stock,3
The Marriage of Opposites,28.08,Four,In stock,4
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,One,In stock,1
The Long Haul (Diary of a Wimpy Kid #9),44.07,One,In stock,1
The Loney,23.4,One,In stock,1
The Literature Book (Big Ideas Simply Explained),17.43,Three,In stock,3
The Last Mile (Amos Decker #2),54.21,Two,In stock,2
The Immortal Life of Henrietta Lacks,40.67,Two,In stock,2
The Hidden Oracle (The Trials of Apollo #1),52.26,Two,In stock,2
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,Three,In stock,3
The Guilty (Will Robie #4),13.82,Two,In stock,2
The First Hostage (J.B. Collins #2),25.85,Three,In stock,3
The Dovekeepers,48.78,One,In stock,1
The Darkest Lie,35.35,Five,In stock,5
The Bane Chronicles (The Bane Chronicles #1-11),44.73,Four,In stock,4
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,One,In stock,1
The 14th Colony (Cotton Malone #11),39.24,One,In stock,1
That Darkness (Gardiner and Renner #1),13.92,One,In stock,1
Tastes Like Fear (DI Marnie Rome #3),10.69,One,In stock,1
Take Me with You,45.21,Three,In stock,3
Swell: A Year of Waves,45.58,One,In stock,1
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,Five,In stock,5
Still Life with Bread Crumbs,26.41,Three,In stock,3
Steve Jobs,39.5,Five,In stock,5
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,Four,In stock,4
Someone Like You (The Harrisons #2),52.79,Five,In stock,5
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,Four,In stock,4
Shtum,55.84,Four,In stock,4
See America: A Celebration of Our National Parks & Treasured Sites,48.87,Three,In stock,3
salt.,46.78,Four,In stock,4
Robin War,47.82,Three,In stock,3
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,Two,In stock,2
Rain Fish,23.57,Three,In stock,3
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,Five,In stock,5
Pet Sematary,10.56,Three,In stock,3
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,Three,In stock,3
Once Was a Time,18.28,Two,In stock,2
Old School (Diary of a Wimpy Kid #10),11.83,Five,In stock,5
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,Two,In stock,2
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,Two,In stock,2
My Name Is Lucy Barton,41.56,One,In stock,1
My Mrs. Brown,24.48,Three,In stock,3
My Kind of Crazy,40.36,One,In stock,1
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,One,In stock,1
More Than Music (Chasing the Dream #1),37.61,Two,In stock,2
Made to Stick: Why Some Ideas Survive and Others Die,38.85,Five,In stock,5
Luis Paints the World,53.95,Three,In stock,3
Luckiest Girl Alive,49.83,Three,In stock,3
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,Two,In stock,2
Love Is a Mix Tape (Music #1),18.03,One,In stock,1
Looking for Lovely: Collecting the Moments that Matter,29.14,Five,In stock,5
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,Four,In stock,4
Let It Out: A Journey Through Journaling,26.79,Five,In stock,5
Lady Midnight (The Dark Artifices #1),16.28,Five,In stock,5
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,One,In stock,1
Island of Dragons (Unwanteds #7),29.65,One,In stock,1
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,Four,In stock,4
I Am Pilgrim (Pilgrim #1),10.6,Four,In stock,4
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,Five,In stock,5
"Hush, Hush (Hush, Hush #1)",47.02,Three,In stock,3
Hold Your Breath (Search and Rescue #1),28.82,One,In stock,1
Hamilton: The Revolution,58.79,Three,In stock,3
Greek Mythic History,10.23,Five,In stock,5
God: The Most Unpleasant Character in All Fiction,30.03,Five,In stock,5
Glory over Everything: Beyond The Kitchen House,45.84,Three,In stock,3
Feathers: Displays of Brilliant Plumage,49.05,Three,In stock,3
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,Four,In stock,4
Every Last Word,46.47,Three,In stock,3
Eligible (The Austen Project #4),27.09,Three,In stock,3
El Deafo,57.62,Five,In stock,5
Eight Hundred Grapes,14.39,Four,In stock,4
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,Five,In stock,5
"Eat Fat, Get Thin",54.07,Two,In stock,2
Don't Get Caught,55.35,One,In stock,1
Doctor Sleep (The Shining #2),40.12,Two,In stock,2
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,Five,In stock,5
Dear Mr. Knightley,11.21,Five,In stock,5
Daily Fantasy Sports,36.58,One,In stock,1
Crazy Love: Overwhelmed by a Relentless God,47.72,Two,In stock,2
Cometh the Hour (The Clifton Chronicles #6),25.01,Three,In stock,3
Code Name Verity (Code Name Verity #1),22.13,Four,In stock,4
Clockwork Angel (The Infernal Devices #1),44.14,One,In stock,1
City of Glass (The Mortal Instruments #3),56.02,Four,In stock,4
City of Fallen Angels (The Mortal Instruments #4),11.23,Four,In stock,4
City of Bones (The Mortal Instruments #1),43.28,One,In stock,1
City of Ashes (The Mortal Instruments #2),47.27,One,In stock,1
Cell,20.29,Four,In stock,4
Catching Jordan (Hundred Oaks),50.83,Three,In stock,3
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,Three,In stock,3
Carrie,46.23,Two,In stock,2
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,Four,In stock,4
Brain on Fire: My Month of Madness,49.32,Five,In stock,5
Batman: Europa,32.01,Two,In stock,2
Barefoot Contessa Back to Basics,28.01,One,In stock,1
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,Five,In stock,5
Balloon Animals,17.03,Three,In stock,3
Art Ops Vol. 1,48.8,Three,In stock,3
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,Four,In stock,4
Angels Walking (Angels Walking #1),34.2,Two,In stock,2
Angels & Demons (Robert Langdon #1),51.48,Three,In stock,3
All the Light We Cannot See,29.87,Five,In stock,5
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,Two,In stock,2
Abstract City,56.37,Five,In stock,5
A Time of Torment (Charlie Parker #14),48.35,Five,In stock,5
A Study in Scarlet (Sherlock Holmes #1),16.73,Two,In stock,2
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,Two,In stock,2
A People's History of the United States,40.79,Two,In stock,2
A Man Called Ove,39.72,One,In stock,1
A Distant Mirror: The Calamitous 14th Century,14.58,Three,In stock,3
A Brush of Wings (Angels Walking #3),55.51,One,In stock,1
1491: New Revelations of the Americas Before Columbus,21.8,Three,In stock,3
"The Three Searches, Meaning, and the Story",13.33,Three,In stock,3
Searching for Meaning in Gailana,38.73,One,In stock,1
Rook,37.86,Four,In stock,4
My Kitchen Year: 136 Recipes That Saved My Life,11.53,Two,In stock,2
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,One,In stock,1
Will You Won't You Want Me?,13.86,Three,In stock,3
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,One,In stock,1
The Star-Touched Queen,32.3,Five,In stock,5
The Silent Sister (Riley MacPherson #1),46.29,Five,In stock,5
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,One,In stock,1
The Lonely City: Adventures in the Art of Being Alone,33.26,Two,In stock,2
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,Four,In stock,4
The Golden Condom: And Other Essays on Love Lost and Found,39.43,One,In stock,1
The Epidemic (The Program 0.6),14.44,Five,In stock,5
The Dinner Party,56.54,Two,In stock,2
The Diary of a Young Girl,59.9,Three,In stock,3
The Children,11.88,Three,In stock,3
Stars Above (The Lunar Chronicles #4.5),48.05,Two,In stock,2
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,Three,In stock,3
Raspberry Pi Electronics Projects for the Evil Genius,49.67,Four,In stock,4
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,One,In stock,1
Psycho: Sanitarium (Psycho #1.5),36.97,Five,In stock,5
Poisonous (Max Revere Novels #3),26.8,Three,In stock,3
One with You (Crossfire #5),15.71,Four,In stock,4
No Love Allowed (Dodge Cove #1),54.65,Four,In stock,4
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,In stock,4
Most Wanted,35.28,Three,In stock,3
"Love, Lies and Spies",20.55,Two,In stock,2
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,Five,In stock,5
Hide Away (Eve Duncan #20),11.84,One,In stock,1
Furiously Happy: A Funny Book About Horrible Things,41.46,Four,In stock,4
Everyday Italian: 125 Simple and Delicious Recipes,20.1,Five,In stock,5
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,One,In stock,1
Eleanor & Park,56.51,Five,In stock,5
Dirty (Dive Bar #1),40.83,Four,In stock,4
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,One,In stock,1
Boar Island (Anna Pigeon #19),59.48,Three,In stock,3
A Paris Apartment,39.01,Four,In stock,4
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,One,In stock,1
Troublemaker: Surviving Hollywood and Scientology,48.39,Two,In stock,2
The Widow,27.26,Two,In stock,2
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,Four,In stock,4
The Improbability of Love,59.45,One,In stock,1
The Art of Startup Fundraising,21.0,Three,In stock,3
Take Me Home Tonight (Rock Star Romance #3),53.98,Three,In stock,3
Sleeping Giants (Themis Files #1),48.74,One,In stock,1
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,Two,In stock,2
Playing with Fire,13.71,Three,In stock,3
Off the Hook (Fishing for Trouble #1),47.67,Three,In stock,3
